Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-01-23,1.07472,113.015,0.99831,1.25021,1.32488,0.85952,121.46,1.07285,0.75743,141.305,113.19,1.24797,0.722
2017-01-24,1.07274,113.836,1.0011,1.25028,1.31681,0.858,122.109,1.07413,0.75797,142.315,113.666,1.2517,0.7243
2017-01-25,1.07494,113.296,0.99945,1.26323,1.30678,0.85077,121.763,1.07412,0.75681,143.131,113.346,1.26249,0.72689
2017-01-26,1.06914,114.389,0.99956,1.25997,1.30877,0.8485,122.3,1.06865,0.75481,144.128,114.427,1.25939,0.72543
2017-01-27,1.06977,115.112,0.99908,1.25453,1.31394,0.85269,123.12,1.06874,0.75501,144.415,115.2,1.25341,0.7262
2017-01-30,1.0694,113.59,0.9949,1.2481,1.3114,0.85683,121.496,1.0644,0.75497,141.789,114.11,1.24205,0.72831
2017-01-31,1.07947,112.875,0.98946,1.25688,1.30198,0.85877,121.83,1.06804,0.75817,141.868,114.06,1.24363,0.73407
2017-02-01,1.07712,113.139,0.9926,1.26671,1.30466,0.85027,121.87,1.06912,0.75863,143.313,113.982,1.25735,0.72794
2017-02-02,1.0759,112.684,0.9928,1.25319,1.30252,0.85857,121.35,1.06821,0.76597,141.186,113.473,1.24404,0.7286
2017-02-03,1.07743,112.871,0.993,1.2477,1.30256,0.86339,121.42,1.07,0.7679,140.843,113.651,1.23912,0.731
2017-02-06,1.07494,111.735,0.99071,1.24692,1.30831,0.86206,120.08,1.06496,0.76574,139.323,112.775,1.23538,0.73196
2017-02-07,1.06946,112.219,0.99647,1.25151,1.3162,0.85451,119.999,1.06568,0.76344,140.393,112.59,1.24705,0.73087
2017-02-08,1.06874,112.049,0.99526,1.25304,1.3157,0.85286,119.753,1.06366,0.76332,140.401,112.56,1.2471,0.72588
2017-02-09,1.0659,113.269,1.00134,1.2496,1.31405,0.8528,120.723,1.06728,0.76297,141.52,113.09,1.251,0.71931
2017-02-10,1.06321,113.421,1.00364,1.24813,1.30841,0.85186,120.591,1.06707,0.76739,141.565,113.01,1.25258,0.7192
2017-02-13,1.05993,113.613,1.0053,1.25283,1.30716,0.84592,120.423,1.06571,0.76455,142.346,112.99,1.25976,0.71751
2017-02-14,1.05732,114.18,1.00693,1.24648,1.30759,0.84815,120.723,1.06467,0.76524,142.328,113.377,1.25522,0.71638
2017-02-15,1.0599,114.159,1.0054,1.24578,1.30782,0.85072,120.98,1.06569,0.77129,142.214,113.52,1.25261,0.72183
2017-02-16,1.06729,113.159,0.99708,1.24946,1.30757,0.8541,120.777,1.06414,0.76895,141.392,113.47,1.24591,0.72267
2017-02-17,1.06077,112.922,1.00285,1.2419,1.3102,0.8539,119.786,1.06378,0.766,140.243,112.578,1.2455,0.71836
2017-02-20,1.06177,113.117,1.00259,1.246,1.30921,0.85207,120.09,1.06449,0.76803,140.945,112.82,1.24929,0.7183
2017-02-21,1.05467,113.595,1.00864,1.24732,1.31406,0.84549,119.806,1.06386,0.768,141.684,112.608,1.25809,0.71648
2017-02-22,1.05705,113.133,1.00936,1.24532,1.31524,0.84874,119.587,1.0669,0.77066,140.89,112.08,1.25698,0.71912
